composition,minimum CN_VoronoiNN,maximum CN_VoronoiNN,range CN_VoronoiNN,mean CN_VoronoiNN,avg_dev CN_VoronoiNN,spacegroup_num,crystal_system,crystal_system_int,is_centrosymmetric,n_symmetry_ops,density,vpa,packing fraction
MgAg0.97Sb.98As.01_generalized_grouping_grouped_from_oqmd-5757776_rank_1,9.579430434627564,13.16415928092014,3.5847288462925757,10.774342209390154,1.5932093522266146,194,hexagonal,2,True,192,5.770846783380193,24.35610204902437,0.6030590345057711
MgAg0.97Sb.98Bi.01_generalized_grouping_grouped_from_oqmd-3241062_rank_3,7.999999999893484,9.97181797742895,1.9718179775354656,9.314545318200231,0.8763635455378301,216,cubic,1,False,192,5.770846781177953,24.356102058319014,0.6030590342756356
MgAg0.97Sb.98Bi.01_generalized_grouping_grouped_from_oqmd-5473064_rank_2,7.999999999989333,9.971811232772206,1.9718112327828727,9.314540821839282,0.8763605478999651,216,cubic,1,False,192,5.620515855586197,25.007550334653875,0.5873493080869563
MgAg0.97Sb.98Bi.01_generalized_grouping_grouped_from_oqmd-5757776_rank_1,9.579430434627564,13.16415928092014,3.5847288462925757,10.774342209390154,1.5932093522266146,194,hexagonal,2,True,192,5.770846783380193,24.35610204902437,0.6030590345057711
MgAg0.97Sb.98Pb.01_generalized_grouping_grouped_from_oqmd-3241062_rank_3,7.999999999893484,9.97181797742895,1.9718179775354656,9.314545318200231,0.8763635455378301,216,cubic,1,False,192,5.770846781177953,24.356102058319014,0.6030590342756356
MgAg0.97Sb.98Pb.01_generalized_grouping_grouped_from_oqmd-5473064_rank_2,7.999999999989333,9.971811232772206,1.9718112327828727,9.314540821839282,0.8763605478999651,216,cubic,1,False,192,5.620515855586197,25.007550334653875,0.5873493080869563
MgAg0.97Sb.98Pb.01_generalized_grouping_grouped_from_oqmd-5757776_rank_1,9.579430434627564,13.16415928092014,3.5847288462925757,10.774342209390154,1.5932093522266146,194,hexagonal,2,True,192,5.770846783380193,24.35610204902437,0.6030590345057711
MgAg0.97Sb.98Sn.01_generalized_grouping_grouped_from_oqmd-3241062_rank_3,7.999999999893484,9.97181797742895,1.9718179775354656,9.314545318200231,0.8763635455378301,216,cubic,1,False,192,5.770846781177953,24.356102058319014,0.6030590342756356
MgAg0.97Sb.98Sn.01_generalized_grouping_grouped_from_oqmd-5473064_rank_2,7.999999999989333,9.971811232772206,1.9718112327828727,9.314540821839282,0.8763605478999651,216,cubic,1,False,192,5.620515855586197,25.007550334653875,0.5873493080869563
MgAg0.97Sb.98Sn.01_generalized_grouping_grouped_from_oqmd-5757776_rank_1,9.579430434627564,13.16415928092014,3.5847288462925757,10.774342209390154,1.5932093522266146,194,hexagonal,2,True,192,5.770846783380193,24.35610204902437,0.6030590345057711
MgAgSb0.985In0.015_generalized_grouping_grouped_from_oqmd-3241062_rank_3,7.999999999893484,9.97181797742895,1.9718179775354656,9.314545318200231,0.8763635455378301,216,cubic,1,False,192,5.770846781177953,24.356102058319014,0.6030590342756356
MgAgSb0.985In0.015_generalized_grouping_grouped_from_oqmd-5473064_rank_2,7.999999999989333,9.971811232772206,1.9718112327828727,9.314540821839282,0.8763605478999651,216,cubic,1,False,192,5.620515855586197,25.007550334653875,0.5873493080869563
MgAgSb0.985In0.015_generalized_grouping_grouped_from_oqmd-5757776_rank_1,9.579430434627564,13.16415928092014,3.5847288462925757,10.774342209390154,1.5932093522266146,194,hexagonal,2,True,192,5.770846783380193,24.35610204902437,0.6030590345057711
MgAgSb0.98In0.02_generalized_grouping_grouped_from_oqmd-3241062_rank_3,7.999999999893484,9.97181797742895,1.9718179775354656,9.314545318200231,0.8763635455378301,216,cubic,1,False,192,5.770846781177953,24.356102058319014,0.6030590342756356
MgAgSb0.98In0.02_generalized_grouping_grouped_from_oqmd-5473064_rank_2,7.999999999989333,9.971811232772206,1.9718112327828727,9.314540821839282,0.8763605478999651,216,cubic,1,False,192,5.620515855586197,25.007550334653875,0.5873493080869563
MgAgSb0.98In0.02_generalized_grouping_grouped_from_oqmd-5757776_rank_1,9.579430434627564,13.16415928092014,3.5847288462925757,10.774342209390154,1.5932093522266146,194,hexagonal,2,True,192,5.770846783380193,24.35610204902437,0.6030590345057711
MgAgSb0.995In0.005_generalized_grouping_grouped_from_oqmd-3241062_rank_3,7.999999999893484,9.97181797742895,1.9718179775354656,9.314545318200231,0.8763635455378301,216,cubic,1,False,192,5.770846781177953,24.356102058319014,0.6030590342756356
MgAgSb0.995In0.005_generalized_grouping_grouped_from_oqmd-5473064_rank_2,7.999999999989333,9.971811232772206,1.9718112327828727,9.314540821839282,0.8763605478999651,216,cubic,1,False,192,5.620515855586197,25.007550334653875,0.5873493080869563
MgAgSb0.995In0.005_generalized_grouping_grouped_from_oqmd-5757776_rank_1,9.579430434627564,13.16415928092014,3.5847288462925757,10.774342209390154,1.5932093522266146,194,hexagonal,2,True,192,5.770846783380193,24.35610204902437,0.6030590345057711
MgAgSb0.99In0.01_generalized_grouping_grouped_from_oqmd-3241062_rank_3,7.999999999893484,9.97181797742895,1.9718179775354656,9.314545318200231,0.8763635455378301,216,cubic,1,False,192,5.770846781177953,24.356102058319014,0.6030590342756356
MgAgSb0.99In0.01_generalized_grouping_grouped_from_oqmd-5473064_rank_2,7.999999999989333,9.971811232772206,1.9718112327828727,9.314540821839282,0.8763605478999651,216,cubic,1,False,192,5.620515855586197,25.007550334653875,0.5873493080869563
MgAgSb0.99In0.01_generalized_grouping_grouped_from_oqmd-5757776_rank_1,9.579430434627564,13.16415928092014,3.5847288462925757,10.774342209390154,1.5932093522266146,194,hexagonal,2,True,192,5.770846783380193,24.35610204902437,0.6030590345057711
MgAgSb_transmutation_transmuted_from_oqmd-3241062_rank_3,7.999999999894831,9.97181810713412,1.9718181072392884,9.314545404670476,0.8763636031837633,216,cubic,1,False,24,5.770846781177953,24.356102058319014,0.6030590342756355
MgAgSb_transmutation_transmuted_from_oqmd-3750974_rank_4,7.999999999996656,9.971809676302795,1.9718096763061395,9.31453978419915,0.8763598561349975,216,cubic,1,False,24,4.857185008398135,28.937611584131556,0.5075805010135389
MgAgSb_transmutation_transmuted_from_oqmd-5473064_rank_2,7.999999999988903,9.971811103066289,1.9718111030773855,9.314540735368631,0.8763604902531519,216,cubic,1,False,24,5.6205158377775195,25.007550413890623,0.5873493062259323
MgAgSb_transmutation_transmuted_from_oqmd-5757776_rank_1,9.579434094078715,13.164157892902178,3.584723798823463,10.774342209412346,1.5932093522353545,194,hexagonal,2,True,24,5.770846783380193,24.35610204902437,0.6030590345057716
MgAgSb_transmutation_transmuted_from_oqmd-7001747_rank_5,7.999999999909052,9.971808898020026,1.9718088981109734,9.314539265311607,0.8763595102683693,216,cubic,1,False,24,5.194637182997607,27.057776744319884,0.5428445775424657
Mn1.3Mo6S8,11.008524522970818,12.144801723712721,1.1362772007419029,11.553246175290026,0.36843450710110653,6,monoclinic,6,False,2,4.387136528778983,22.931785250728392,0.36513014992947135
Mn2Cu3In3Te8,11.999999999999483,11.999999999999492,8.881784197001252e-15,11.999999999999488,2.434266779918862e-15,1,triclinic,7,False,1,8.77455336933921,19.92702144538179,0.6039097612091374
